股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
002746,仙坛股份,2024-01-02,6.54,6.53,6.6,6.52,93004,65633020.64,1.22,-0.15,-0.01,1.31
002746,仙坛股份,2024-01-03,6.53,6.51,6.6,6.45,82042,57517873.6,2.3,-0.31,-0.02,1.16
002746,仙坛股份,2024-01-04,6.51,6.42,6.51,6.38,78655,54531773.0,2.0,-1.38,-0.09,1.11
002746,仙坛股份,2024-01-05,6.42,6.31,6.43,6.28,80854,55439555.06,2.34,-1.71,-0.11,1.14
002746,仙坛股份,2024-01-08,6.32,6.11,6.34,6.11,85394,57287869.74,3.65,-3.17,-0.2,1.2
002746,仙坛股份,2024-01-09,6.15,6.21,6.24,6.09,62390,41641243.7,2.45,1.64,0.1,0.88
002746,仙坛股份,2024-01-10,6.2,6.23,6.25,6.14,49099,32961733.02,1.77,0.32,0.02,0.69
002746,仙坛股份,2024-01-11,6.23,6.38,6.38,6.21,70863,48464805.92,2.73,2.41,0.15,1.0
002746,仙坛股份,2024-01-12,6.37,6.43,6.54,6.33,84122,58606089.29,3.29,0.78,0.05,1.19
002746,仙坛股份,2024-01-15,6.4,6.38,6.47,6.36,58326,40282578.97,1.71,-0.78,-0.05,0.82
002746,仙坛股份,2024-01-16,6.4,6.45,6.48,6.35,67640,46772219.17,2.04,1.1,0.07,0.95
002746,仙坛股份,2024-01-17,6.43,6.29,6.47,6.29,53408,36836962.3,2.79,-2.48,-0.16,0.75
002746,仙坛股份,2024-01-18,6.31,6.35,6.35,6.13,115707,77678185.48,3.5,0.95,0.06,1.63
002746,仙坛股份,2024-01-19,6.3,6.24,6.38,6.22,77312,52578547.8,2.52,-1.73,-0.11,1.09
002746,仙坛股份,2024-01-22,6.21,5.81,6.22,5.78,122539,79320865.92,7.05,-6.89,-0.43,1.73
002746,仙坛股份,2024-01-23,5.8,5.82,5.85,5.65,74432,46598208.55,3.44,0.17,0.01,1.05
002746,仙坛股份,2024-01-24,5.84,5.91,5.92,5.67,65281,41220815.66,4.3,1.55,0.09,0.92
002746,仙坛股份,2024-01-25,5.89,6.16,6.16,5.87,77664,50845007.45,4.91,4.23,0.25,1.09
002746,仙坛股份,2024-01-26,6.11,6.11,6.22,6.08,50639,33650773.5,2.27,-0.81,-0.05,0.71
002746,仙坛股份,2024-01-29,6.15,6.03,6.18,6.02,69186,45465095.5,2.62,-1.31,-0.08,0.97
002746,仙坛股份,2024-01-30,5.99,5.83,6.08,5.83,66229,42739418.86,4.15,-3.32,-0.2,0.93
002746,仙坛股份,2024-01-31,5.78,5.63,5.9,5.62,97472,60713354.09,4.8,-3.43,-0.2,1.37
002746,仙坛股份,2024-02-01,5.62,5.49,5.67,5.47,82509,49982964.51,3.55,-2.49,-0.14,1.16
002746,仙坛股份,2024-02-02,5.53,5.39,5.73,5.19,138346,82929443.6,9.84,-1.82,-0.1,1.95
002746,仙坛股份,2024-02-05,5.3,4.9,5.32,4.9,168234,93673351.18,7.79,-9.09,-0.49,2.37
002746,仙坛股份,2024-02-06,4.77,5.44,5.44,4.77,171293,96548935.93,13.67,11.02,0.54,2.41
002746,仙坛股份,2024-02-07,5.47,5.89,6.0,5.44,171626,106685918.16,10.29,8.27,0.45,2.42
002746,仙坛股份,2024-02-08,5.89,6.25,6.33,5.89,188390,126105649.63,7.47,6.11,0.36,2.65
002746,仙坛股份,2024-02-19,6.37,5.91,6.37,5.81,164004,107114858.63,8.96,-5.44,-0.34,2.31
002746,仙坛股份,2024-02-20,5.85,5.84,5.87,5.73,102619,64707800.04,2.37,-1.18,-0.07,1.45
002746,仙坛股份,2024-02-21,5.86,5.81,5.97,5.74,128343,81605979.06,3.94,-0.51,-0.03,1.81
002746,仙坛股份,2024-02-22,5.85,5.85,5.85,5.75,76852,48473651.03,1.72,0.69,0.04,1.08
002746,仙坛股份,2024-02-23,5.85,5.88,5.93,5.78,117794,74794373.92,2.56,0.51,0.03,1.66
002746,仙坛股份,2024-02-26,5.91,5.87,5.98,5.77,125482,80010020.69,3.57,-0.17,-0.01,1.77
002746,仙坛股份,2024-02-27,5.87,6.03,6.07,5.83,122204,79187064.57,4.09,2.73,0.16,1.72
002746,仙坛股份,2024-02-28,6.01,5.76,6.14,5.76,143381,92903200.98,6.3,-4.48,-0.27,2.02
002746,仙坛股份,2024-02-29,5.76,5.94,5.94,5.74,82462,52429618.5,3.47,3.13,0.18,1.16
002746,仙坛股份,2024-03-01,5.93,5.88,5.93,5.79,74701,47490414.79,2.36,-1.01,-0.06,1.05
002746,仙坛股份,2024-03-04,5.85,5.78,5.87,5.72,75803,47572036.42,2.55,-1.7,-0.1,1.07
002746,仙坛股份,2024-03-05,5.76,5.72,5.82,5.68,87013,54198660.66,2.42,-1.04,-0.06,1.23
002746,仙坛股份,2024-03-06,5.69,5.67,5.71,5.6,78635,48408373.1,1.92,-0.87,-0.05,1.11
002746,仙坛股份,2024-03-07,5.67,5.72,5.86,5.66,91229,57138930.26,3.53,0.88,0.05,1.29
002746,仙坛股份,2024-03-08,5.71,5.7,5.76,5.64,58712,36336472.6,2.1,-0.35,-0.02,0.83
002746,仙坛股份,2024-03-11,5.68,5.76,5.76,5.64,71054,44099660.3,2.11,1.05,0.06,1.0
002746,仙坛股份,2024-03-12,5.77,5.85,5.86,5.73,83102,52375937.94,2.26,1.56,0.09,1.17
002746,仙坛股份,2024-03-13,5.85,5.76,5.86,5.7,81086,50813163.0,2.74,-1.54,-0.09,1.14
002746,仙坛股份,2024-03-14,5.76,5.73,5.81,5.68,63160,39497868.02,2.26,-0.52,-0.03,0.89
002746,仙坛股份,2024-03-15,5.7,5.81,5.82,5.7,63073,39616795.84,2.09,1.4,0.08,0.89
002746,仙坛股份,2024-03-18,5.84,5.86,5.86,5.77,82114,51852253.8,1.55,0.86,0.05,1.16
002746,仙坛股份,2024-03-19,5.85,5.97,6.01,5.83,136672,88218647.24,3.07,1.88,0.11,1.93
002746,仙坛股份,2024-03-20,5.96,5.97,6.04,5.91,88661,57456324.63,2.18,0.0,0.0,1.25
002746,仙坛股份,2024-03-21,6.01,6.18,6.2,5.97,156633,103508047.6,3.85,3.52,0.21,2.21
002746,仙坛股份,2024-03-22,6.23,5.99,6.23,5.93,137645,89972463.53,4.85,-3.07,-0.19,1.94
002746,仙坛股份,2024-03-25,5.92,5.84,6.0,5.82,83658,53681809.0,3.01,-2.5,-0.15,1.18
002746,仙坛股份,2024-03-26,5.83,5.92,6.08,5.83,89650,57808453.5,4.28,1.37,0.08,1.26
002746,仙坛股份,2024-03-27,5.91,5.78,5.95,5.78,78318,49821106.45,2.87,-2.36,-0.14,1.1
002746,仙坛股份,2024-03-28,5.71,5.73,5.84,5.7,99153,62073306.5,2.42,-0.87,-0.05,1.4
002746,仙坛股份,2024-03-29,5.78,5.88,5.89,5.72,111405,70268604.05,2.97,2.62,0.15,1.57
002746,仙坛股份,2024-04-01,5.9,6.06,6.09,5.86,108272,70517165.77,3.91,3.06,0.18,1.53
002746,仙坛股份,2024-04-02,6.06,6.09,6.1,5.99,72930,47802968.43,1.82,0.5,0.03,1.03
002746,仙坛股份,2024-04-03,6.06,6.19,6.22,6.05,113152,75374422.49,2.79,1.64,0.1,1.59
002746,仙坛股份,2024-04-08,6.16,6.03,6.18,6.02,84138,55506589.91,2.58,-2.58,-0.16,1.19
002746,仙坛股份,2024-04-09,6.05,6.1,6.13,5.95,69087,45266901.11,2.99,1.16,0.07,0.97
002746,仙坛股份,2024-04-10,6.12,6.02,6.17,5.94,74940,48936708.24,3.77,-1.31,-0.08,1.06
002746,仙坛股份,2024-04-11,5.98,5.96,6.05,5.92,60363,39125489.35,2.16,-1.0,-0.06,0.85
002746,仙坛股份,2024-04-12,5.93,5.83,5.99,5.81,66972,42694777.94,3.02,-2.18,-0.13,0.94
002746,仙坛股份,2024-04-15,5.79,5.63,5.86,5.55,104628,64809920.16,5.32,-3.43,-0.2,1.47
002746,仙坛股份,2024-04-16,5.62,5.39,5.64,5.36,101015,60169690.94,4.97,-4.26,-0.24,1.42
002746,仙坛股份,2024-04-17,5.47,5.57,5.58,5.44,86435,52043910.41,2.6,3.34,0.18,1.22
002746,仙坛股份,2024-04-18,5.54,5.57,5.66,5.46,79191,48183085.01,3.59,0.0,0.0,1.12
002746,仙坛股份,2024-04-19,5.53,5.59,5.62,5.49,55262,33510415.7,2.33,0.36,0.02,0.78
002746,仙坛股份,2024-04-22,5.56,5.84,5.87,5.55,114120,71496507.75,5.72,4.47,0.25,1.61
002746,仙坛股份,2024-04-23,5.7,5.43,5.71,5.36,218592,130320088.76,5.99,-7.02,-0.41,3.08
002746,仙坛股份,2024-04-24,5.43,5.36,5.48,5.27,113444,66344892.0,3.87,-1.29,-0.07,1.6
002746,仙坛股份,2024-04-25,5.36,5.42,5.49,5.32,75843,44891599.04,3.17,1.12,0.06,1.07
002746,仙坛股份,2024-04-26,5.41,5.49,5.52,5.4,91830,54721857.9,2.21,1.29,0.07,1.29
002746,仙坛股份,2024-04-29,5.49,5.64,5.66,5.49,111752,68088296.79,3.1,2.73,0.15,1.57
002746,仙坛股份,2024-04-30,5.61,5.63,5.75,5.61,80872,49879528.2,2.48,-0.18,-0.01,1.14
002746,仙坛股份,2024-05-06,5.71,5.77,5.84,5.67,92273,57800692.52,3.02,2.49,0.14,1.3
002746,仙坛股份,2024-05-07,5.77,5.77,5.8,5.68,84882,53039418.97,2.08,0.0,0.0,1.2
002746,仙坛股份,2024-05-08,5.76,5.82,5.88,5.75,115670,73072004.5,2.25,0.87,0.05,1.63
002746,仙坛股份,2024-05-09,5.8,5.89,5.92,5.79,100420,63978411.53,2.23,1.2,0.07,1.42
002746,仙坛股份,2024-05-10,5.88,5.91,5.97,5.86,86557,55515742.86,1.87,0.34,0.02,1.22
002746,仙坛股份,2024-05-13,5.93,5.87,5.95,5.83,64471,41107643.5,2.03,-0.68,-0.04,0.91
002746,仙坛股份,2024-05-14,5.85,5.97,6.05,5.84,81773,52933695.74,3.58,1.7,0.1,1.15
002746,仙坛股份,2024-05-15,5.96,5.87,5.98,5.86,55844,35818058.5,2.01,-1.68,-0.1,0.79
002746,仙坛股份,2024-05-16,5.9,5.94,5.97,5.88,72960,46972885.47,1.53,1.19,0.07,1.03
002746,仙坛股份,2024-05-17,5.94,6.02,6.05,5.94,67380,43779532.88,1.85,1.35,0.08,0.95
002746,仙坛股份,2024-05-20,6.01,6.17,6.22,6.01,113463,75384829.99,3.49,2.49,0.15,1.6
002746,仙坛股份,2024-05-21,6.18,6.15,6.31,6.11,126434,84523414.84,3.24,-0.32,-0.02,1.78
002746,仙坛股份,2024-05-22,6.16,6.17,6.22,6.08,74957,49724809.88,2.28,0.33,0.02,1.06
002746,仙坛股份,2024-05-23,6.16,6.05,6.2,6.01,85482,56353259.2,3.08,-1.94,-0.12,1.2
002746,仙坛股份,2024-05-24,6.05,6.1,6.19,6.04,101819,67431512.62,2.48,0.83,0.05,1.43
002746,仙坛股份,2024-05-27,6.06,6.0,6.1,5.94,96066,62293841.56,2.62,-1.64,-0.1,1.35
002746,仙坛股份,2024-05-28,6.0,5.89,6.0,5.86,78911,50601315.0,2.33,-1.83,-0.11,1.11
002746,仙坛股份,2024-05-29,5.89,5.87,5.97,5.85,54883,35132392.06,2.04,-0.34,-0.02,0.77
002746,仙坛股份,2024-05-30,5.88,5.87,5.96,5.82,81125,50576678.98,2.39,0.0,0.0,1.14
002746,仙坛股份,2024-05-31,5.87,5.81,5.9,5.81,58782,36373841.8,1.53,-1.02,-0.06,0.83
002746,仙坛股份,2024-06-03,5.84,5.82,5.92,5.74,75944,46953562.44,3.1,0.17,0.01,1.07
002746,仙坛股份,2024-06-04,5.77,5.85,5.87,5.72,65756,40451549.56,2.58,0.52,0.03,0.93
002746,仙坛股份,2024-06-05,5.8,5.63,5.85,5.62,96695,58649469.52,3.93,-3.76,-0.22,1.36
002746,仙坛股份,2024-06-06,5.66,5.61,5.68,5.4,122921,72565978.2,4.97,-0.36,-0.02,1.73
002746,仙坛股份,2024-06-07,5.61,5.69,5.76,5.61,85582,51512704.74,2.67,1.43,0.08,1.21
002746,仙坛股份,2024-06-11,5.69,5.73,5.79,5.63,66010,39983338.45,2.81,0.7,0.04,0.93
002746,仙坛股份,2024-06-12,5.68,5.65,5.75,5.64,63616,38277796.69,1.92,-1.4,-0.08,0.9
002746,仙坛股份,2024-06-13,5.66,5.59,5.67,5.55,73737,43894228.72,2.12,-1.06,-0.06,1.04
002746,仙坛股份,2024-06-14,5.56,5.62,5.68,5.49,74770,44334823.15,3.4,0.54,0.03,1.05
002746,仙坛股份,2024-06-17,5.6,5.66,5.7,5.56,62424,37462850.23,2.49,0.71,0.04,0.88
002746,仙坛股份,2024-06-18,5.71,5.66,5.79,5.63,57473,34725605.81,2.83,0.0,0.0,0.81
